Title,,,Catagory,Developer / Publisher,Product ,March
,,,,,Number,Selling Price
,,,,,,
,PC Games,,,,,
,,,,,,
159,,,,,,,
160,,,,,,,
161,,,,,,,
162,,,,,,,
163,,,,,,,
164,,,,,,,
165,,,,,,,
166,,,,,,,
167,,,,,,,
168,,,,,,,
169,,,,,,,
170,,,,,,,
,,,,,,,
,,,,,,,
,Sony PlayStation,,,,,,
,,,,,,,
1,,Alien Trilogy,first person shooter,Acclaim,AOO89, $119.00 ,
2,,Andretti Racing,car racing sports sim,EA. Sport,547439, $105.00 ,
3,,Batman Forever,3D fighting,Acclaim,AO147, $119.00 ,
4,,Battle Arena Toshinden,,,22321, $105.00 ,
5,,Battlestations,,,547639, $105.00 ,
6,,Bedlam,srategy action sim,GT Interactive,, coming soon ,
7,,Birth Right,Dundeons and Dragons,Sierra,595103, $115.00 ,
8,,Broken Sword,third person animated interactive walk through,Revolution,28323, $95.00 ,
9,,Command & Conquer,srategy action conquest sim,Westwood,80975, $105.00 ,
10,,"Crusader ""No Remorse""",isometric shooter adventure,Origin,5410131, $105.00 ,
11,,Cyber Gladiators,arcade,Sierra,595100, $115.00 ,
12,,Cyberia,arcade plus rendered cut scenes,Xatrix Entertainment,A20598, $119.00 ,
13,,D,,,A0076, $119.00 ,
14,,Dark Forces,first person shooter (Doom clone),Lucas Arts,595108, $119.00 ,
15,,Descent,flyer shooter,,A20600, $119.00 
16,,Destruction Derby,car racing sports sim,,10328, $105.00 
17,,Destruction Derby 2,car racing sports sim,,31729, $105.00 
18,,Die Hard Trilogy,arcade action,Fox Interactive,540121, $105.00 
19,,Fade to Black,,,547502, $90.00 
20,,Final Doom,first person shooter,,517, $105.00 
21,,Formula 1,car racing sports sim,,, $105.00 
22,,Gunship 2000,,,33322, $105.00 
23,,"Incredible Hulk ""Pantheon Saga""",,,, coming soon 
24,,Independence Day,aerial combat flight sim,Fox Interactive,540184,April '97
25,,Iron Man \ X-O Manowar,,Acclaim,AO112, $119.00 
26,,Madden NFL '97,sports sim,EA. Sport,547725, $105.00 
27,,Magic Carpet,flying game,,547628, $69.00 
28,,Mortal Combat Trilogy ,arcade fighter,,104, $105.00 
29,,Myst,mystery suspense,,17921, $95.00 
30,,Nascar Racing,car racing sports sim,Sierra,595105, $115.00 
31,,Need for Speed,car racing sports sim,EA.,547657, $90.00 
32,,Need for Speed 2,car racing sports sim,,, April '97 
33,,NFL Game Day,sports sim,,20327, $105.00 
34,,Rebel Assault 2,Arcade,Lucas Arts,595106, $119.00 
35,,Road Rash,motor bike racing sports sim,EA.,547594, $105.00 
36,,Robotron X,updated arcade,,1163, $95.00 
37,,Soviet Strike,helo combat action strategy ,EA.,547585, $105.00 
38,,"Space Hulk 2 - ""Vengence of the Blood Angels""",first person team based shooter,,547692, $69.00 
39,,Star Fighter 3000,,,, coming soon 
40,,Street Fighter: The Movie,Arcade,,A0044, $119.00 
41,,Syndicate Wars,isometric conquest \ strategy action,Bullfrog,547627, $105.00 
42,,Tekken 2,,,25926, $105.00 
43,,Theme Park,,Bullfrog,547630, $69.00 
44,,"Top Gun - ""Fire At Will""",aerial combat flight sim,Spectrum Holobyte,41327, $105.00 
45,,Wing Commander III,space commerce & adventure with cut scenes,Origin,5410110, $69.00 
46,,Wing Commander IV,space commerce & adventure with cut scenes,Origin,5410103, $105.00 
47,,Wipeout,,,10427, $105.00 
48,,,,,,
49,,,,,,
50,,,,,,
51,,,,,,
52,,,,,,
53,,,,,,
54,,,,,,
55,,,,,,
56,,,,,,
57,,,,,,
58,,,,,,
59,,,,,,
60,,,,,,
,,,,,,
,,,,,,
,Accessories,,,,,
,,,,,,
1,,"""Y"" Cable",,CH,CH 003, $32.00 
2,,Flightstick,,CH,CH 502 2, $99.00 
3,,Mic Headset,,,10 HSM, $23.00 
4,,MS Sidewinder Analogue,,Microsoft,MST798, $75.00 
